title,Body,creationdate,acceptedanswerid,Score,tags,answercount,commentcount
"Dynamics Nav exchange with Groupon","<p>I need to build an interface between Dynamics NAV 2013 and Groupon API V2
It seems to me that Groupons API data comes in json format - how could I get this information in Dynamics NAV (orders for example) ?
Should I use webservices ? </p>

<p>Thanks</p>

<p>EDIT :
I worked a lot on this and got receiving data from groupon working
The problem is send information :
I have a problem to send a post request with parameters - this is my code :</p>

<pre><code>WebServiceURL := 'https://...';
Request := Request.Create(WebServiceURL);
Request.Method := 'POST';
Request.KeepAlive := TRUE;
Request.Timeout := 30000;
Request.Accept('application/json');
Request.ContentType('multipart/form-data');
postString := 'param1=123&amp;param2=456';
Request.ContentLength := STRLEN(postString); 
StreamWriter := StreamWriter.StreamWriter(Request.GetRequestStream);
StreamWriter.Write(postString);
StreamWriter.Close;
</code></pre>

<p>I get a 500 error so I don't know anything about why its rejected
But if there is something that seems to be wrong to you, please help !</p>
","2015-10-13 10:19:02","","0","<microsoft-dynamics><dynamics-nav><groupon><dynamics-nav-2013>","2","0"
"Is that a good idea to create a groupon like website using Angularjs?","<p>I'm new to Angularjs. Now I'm going to create a groupon like website. So I checked lots of similar websites. None of them using the one-page style. So I'm thinking when to use Angularjs. Is that a good idea to create a groupon like website using Angularjs?</p>
","2014-01-18 10:43:55","21203229","-1","<angularjs><groupon>","1","1"
"In Groupon's feeds API, what value should be used for tsToken?","<p>I am a new user of <a href=""https://partner-api.groupon.com/feeds"" rel=""nofollow"">Groupon's feeds API</a>.</p>

<p>Here is an example request:</p>

<pre><code>https://partner-api.groupon.com/deals.json?tsToken=insert_tracking_token_here&amp;division_id=amarillo&amp;offset=0&amp;limit=100
</code></pre>

<p><strong>My question</strong>: What value should be used for <strong><code>tsToken</code></strong> in place of <strong><em><code>insert_tracking_token_here</code></em></strong>?</p>
","2014-05-30 13:52:34","23956394","0","<xml><json><parsing><groupon>","2","0"
"Does groupon API show deals from India","<p>Does groupon affiliate API show deals from India? If no then any link to document mentioning that groupon api is not available for india. Specially the deals which are shown on groupon.co.in</p>
","2015-01-16 08:31:38","","0","<groupon>","2","0"
"Authorize/Capture for PayPal","<p>Using PayPal IPN, can we implement delayed payment. Perfect example is Groupon where card is charged only when deal is tipped. Can someone throw light on implementation part using PayPal IPN and also how multiple cards can be charged at once when deal is tipped. </p>
","2011-06-10 11:35:16","6305965","2","<paypal><paypal-ipn><groupon>","1","1"
"groupon json request not working","<p>I can't seem to get jquery to return anything from the groupon API.</p>

<p>When I check in <a href=""https://apigee.com/console/groupon_api2#"" rel=""nofollow"">apigee</a> I can do a simple get request to get all divisions.</p>

<p>But when I try in JSFiddle it ain't working</p>

<pre><code>$.get('https://api.groupon.com/v2/divisions.json?client_id=b91d375e38147f3c1e0339a3588d0b791c190424', function(data) {
        console.log(data);
    });
</code></pre>

<p>The $.get above returns a response that's empty.</p>

<pre><code>$.getJSON(""https://api.groupon.com/v2/divisions.json?client_id=b91d375e38147f3c1e0339a3588d0b791c190424&amp;jsoncallback=?"", function(json) {
        console.log(data);
    });
</code></pre>

<p>This one returns an error</p>

<pre><code>invalid label
[Break On This Error] {""divisions"":[{""id"":""abbotsford"",""name...owCustomerEnabled"":false,""areas"":[]}]}
</code></pre>

<p>What am I doing wrong here?</p>

<p>Here is the JSFIDDLE : </p>

<blockquote>
  <p><a href=""http://jsfiddle.net/fMzeK/2/"" rel=""nofollow"">http://jsfiddle.net/fMzeK/5/</a></p>
</blockquote>
","2011-06-28 20:56:24","6513197","2","<json><jquery><jsonp><groupon>","1","2"
"Clue on how to program a discount system site like groupon","<p>I found this post: 
<a href=""https://stackoverflow.com/questions/5632683/programming-a-contest-based-on-cupon-codes-in-drupal"">programming a contest based on cupon codes in drupal</a></p>

<p>I wonder if there is any sort of module that does something like <a href=""http://www.eversave.com/"" rel=""nofollow noreferrer"">http://www.eversave.com/</a> or <a href=""http://www.groupon.com"" rel=""nofollow noreferrer"">http://www.groupon.com</a>;</p>

<p>Does anybody knows some module(s) that can give me a ""head start""? </p>

<p>Maybe a little code clue on how to start? </p>

<p>I really need to make a clone, thanks in advance.</p>
","2011-07-12 02:35:00","","4","<drupal><discount><groupon>","1","0"
"Parse date from javascript countdown (jQuery plugin)","<p>I'm trying to parse ""Time Left To Buy"" from a Groupon clone. Don't worry, everything is legal. The Javascript looks like </p>

<pre><code>var untilDate = new Date(1316206740000);
        $(""#wlt-DealTimeLeft .timer"").countdown({until: untilDate,
        layout: ""&lt;div class='timerDiv withDay clearfix'&gt;&lt;div class='countdownItem days'&gt;&lt;p&gt;{dn}&lt;/p&gt;{dl}&lt;/div&gt;&lt;div class='countdownItem'&gt;&lt;p&gt;{hn}&lt;/p&gt;{hl}&lt;/div&gt;&lt;div class='countdownSep'&gt;:&lt;/div&gt;&lt;div class='countdownItem'&gt;&lt;p&gt;{mn}&lt;/p&gt;{ml}&lt;/div&gt;&lt;div class='countdownSep'&gt;:&lt;/div&gt;&lt;div class='countdownItem'&gt;&lt;p&gt;{sn}&lt;/p&gt;{sl}&lt;/div&gt;&lt;/div&gt;"", onTick: function(periods){
            $(""#wlt-DealTimeLeft"").uTimeLeftTick(periods,259080);
        }});
</code></pre>

<p>I was thinking about the Date value, but it isn't only regular unix timestamp. How can I get the date when the deal ends? It's some kind of jQuery countdown plugin. Thank you for any hints or advices.</p>
","2011-09-14 11:52:40","7416500","0","<php><javascript><parsing><countdown><groupon>","1","2"
"How to get the JSON data from the Groupon API","<p>I am struggling to get the ""merchant"" -> ""id"" from the Groupon API below, while I don't have any problems to return the discountPercent.</p>

<pre><code>&lt;?php

$url = 'https://partner-int-api.groupon.com/deals.json?country_code=IE&amp;tsToken=IE_AFF_0_200012_212556_0&amp;division_id=dublin&amp;offset=0&amp;limit=10';
$content = file_get_contents($url);
$json = json_decode($content, true);

foreach($json['deals'] as $results) {

$discountPercent = $results['options'][0]['discountPercent'];
$merchantId = $results['merchant'][0]-&gt;id;

    echo $discountPercent.'&lt;br&gt;'; 
    echo $merchantId;  

}   
?&gt;
</code></pre>

<p>If someone could point me to the right direction.</p>

<p>Many Thanks,</p>
","2017-04-29 21:25:43","","0","<json><api><groupon>","2","0"
"Groupon deals api work with limit parameter","<p>I want to get top popular deals using group-on deals API. when we pass limit parameter with URL then how it works it gives top deals according to limit or randomly?  </p>
","2017-04-21 07:25:40","","0","<groupon>","1","0"
"The Groupon API - What is the difference between endAt and expiresAt?","<p>There is a lot of data provided in the Groupon API, but I can't find information anywhere on what the different fields mean. </p>

<p>""endAt"" and ""expiresAt"" is quite ambiguous to me. The time at which a deal is no longer valid is quite important to get it wrong is no option.</p>

<p>Any ideas?</p>
","2015-09-02 16:08:32","","0","<json><api><groupon>","1","0"
"Titanium - Slide menu like Groupon","<p>Can you show me a method for make a slider menu like Groupon apps in Titanium??</p>

<p>Video example --><a href=""http://www.youtube.com/watch?v=R_NkdNA33oY"" rel=""nofollow"">click here</a></p>

<p>I have tried to use two scroller: one scrollableView in the page and a ScrollView in the menu, but this approach it's too difficult and redundant...
Someone can shows me easiest way or a tutorial?? 
Thanks!
Sorry for my english</p>
","2013-12-03 17:04:25","20357808","0","<ios><menu><slider><titanium><groupon>","3","0"
"How to correctly convert from PHP and CURL post to C# HTTP Client post for groupon API","<p>I've tried to convert the following code</p>

<pre><code>&lt;?php
   // requires PHP cURL http://no.php.net/curl
   $datatopost = array (
      ""supplier_id"" =&gt; ""1"",
      ""token"" =&gt; ""xYRPKcoakMoiRzWgKLV5TqPSdNAaZQT"",
      ""ci_lineitem_ids"" =&gt; json_encode ( array (54553919, 54553920) ),
   );
   $ch = curl_init (""https://scm.commerceinterface.com/api/v4/mark_exported"");
   curl_setopt ($ch, CURLOPT_POST, true);
   curl_setopt ($ch, CURLOPT_POSTFIELDS, $datatopost);
   curl_setopt ($ch, CURLOPT_RETURNTRANSFER, true);
   $response = curl_exec ($ch);
   if( $response ) {
      $response_json = json_decode( $response );
      if( $response_json-&gt;success == true ) {
        //Successfully marked as exported (only items which are not already marked exported
      } else {

      }
   }
</code></pre>

<p>to work with the HTTP client in C# by using the form url encoded content class as below in place of the <code>$datatopost</code> array in the PHP</p>

<pre><code>FormUrlEncodedContent markExportedContent = new FormUrlEncodedContent(new[] {
    new KeyValuePair&lt;string,string&gt;(""supplier_id"",country.supplier_id),
    new KeyValuePair&lt;string, string&gt;(""token"",country.token),
    new KeyValuePair&lt;string, string&gt;(""ci_lineitem_id"", JsonConvert.SerializeObject(country.ci_lineitem_ids))
});
</code></pre>

<p>and then using a http client to post this to the API however i get the below response </p>

<pre><code>{""reason"": ""Missing Parameters (ci_lineitem_ids)."", ""reason_code"": 400, ""success"": false}
</code></pre>

<p>I assume it has something to do with the <code>JsonConvert.SerializeObject(country.ci_lineitem_ids)</code> from the <a href=""https://www.newtonsoft.com/json"" rel=""nofollow noreferrer"">Newtonsoft Json</a> package I am using to convert from a array of strings to a json encoded array as it shows in the PHP code. </p>

<p>Anyone able to help with some ideas as to why this isn't working as expect as i'm all out of ideas at this now having tried multiple different ways to do this before this one?</p>
","2017-10-17 10:20:45","46788610","2","<c#><php><json><curl><groupon>","1","1"
"No EU Groupon API Results","<p>For some reasons I can't print any results from the European Groupon API feeds while the US feed works fine:</p>

<p>The US feed URL can be found on the US Groupon site - see: <a href=""https://partner-api.groupon.com/help/deal-api"" rel=""nofollow"">https://partner-api.groupon.com/help/deal-api</a> (Scroll down to ""Location Sample Calls"").</p>

<p>See below my PHP code to print the results from the US feed in XML, this works fine i.e. I can print the results from the Groupon API.</p>

<pre><code>&lt;?php
$xml=simplexml_load_file(""https://partner-api.groupon.com/deals.xml?tsToken=US_AFF_0_201236_212556_0&amp;division_id=amarillo&amp;offset=0&amp;limit=10"") or die(""Error: Cannot create object"");
print_r($xml);
?&gt;
</code></pre>

<p>Now when I try one of the European countries feed with exactly the same code, I cannot print any results and I have the following error: Error: Cannot create object.</p>

<p>For the EU, The feed URL can be found on the EU Groupon site - see: <a href=""https://partner-int-api.groupon.com/help/deal-api"" rel=""nofollow"">https://partner-int-api.groupon.com/help/deal-api</a> (Scroll down to ""Location Sample Calls"").</p>

<p>See below my PHP code to print the results from the IE feed in XML, this does not work while the code is exactly the same as the US above, what's strange is that it works in Xampp, and it also works if you call the IE feed URL in a browser. But I can't print any results when I put that piece of code below on my server and call it in my browser while it works fine with the US. </p>

<p>Thanks for your help.</p>

<pre><code>&lt;?php
$xml=simplexml_load_file(""https://partner-int-api.groupon.com/deals.xml?country_code=IE&amp;tsToken=IE_AFF_0_200012_212556_0&amp;division_id=dublin&amp;offset=0&amp;limit=20"") or die(""Error: Cannot create object"");
print_r($xml);
?&gt;
</code></pre>
","2016-09-17 14:14:34","","0","<php><xml><api><groupon>","0","3"
"Get Groupon Deals by tag using Groupon API","<p>I am playing around with the Groupon API and I would like to get a list of deals based on a specific tag. </p>

<p>Using the www.apigee.com console, I am doing a GET request on this URL:
<a href=""https://api.groupon.com/v2/deals.json?division_id=new-york&amp;tag=Arcade&amp;client_id="" rel=""nofollow"">https://api.groupon.com/v2/deals.json?division_id=new-york&amp;tag=Arcade&amp;client_id=</a>{myId}</p>

<p>However, the response I am getting appears to just be all the deals for that division (In this case, New York).</p>

<p>Here is a link to the relevant API documentation: 
<a href=""http://sites.google.com/site/grouponapiv2/api-resources/deals"" rel=""nofollow"">http://sites.google.com/site/grouponapiv2/api-resources/deals</a></p>
","2011-06-01 23:35:18","","2","<php><api><groupon>","1","1"
"Import user accounts data from other websites with user sign-in","<p><a href=""http://dealsgoround.com"" rel=""nofollow"">dealsgoround.com</a> and <a href=""http://citypockets.com"" rel=""nofollow"">citypockets.com</a> access user accounts and their daily deals from <a href=""http://livingsocial.com"" rel=""nofollow"">livingsocial.com</a> and other daily deal websites. These websites ask users to give their credentials to sign them in to respective websites and then import account details. LivingSocial and other deal website don't provide API access to user accounts.</p>

<p>I also want such access to other websites and import data from there. But I am unable to find out the backend process by which <a href=""http://dealsgoround.com"" rel=""nofollow"">dealsgoround.com</a> and <a href=""http://citypockets.com"" rel=""nofollow"">citypockets.com</a> import data from Groupon and LivingSocial etc.</p>

<p>By now I am able to find out that web crawlers/spiders can be used to scrap data from web pages. But I am not sure web crawlers can be useful in a scenario where we need user sign in and the page urls are encrypted or at least are dynamically generated urls.</p>

<p>Please help me and suggest me a way to do this. If crawlers are the solution to this please provide links to some web crawler APIs that I can use in my .net application.</p>

<p>Thanks</p>

<p>Atif</p>
","2011-09-09 14:04:15","7471399","0","<api><import><web-crawler><groupon>","2","2"
