title,Body,creationdate,acceptedanswerid,Score,tags,answercount,commentcount
"Querying https://musicbrainz.org for all artists","<p>How can I query for all artists who were born after 1720 and died before 1900 on <a href=""https://musicbrainz.org"" rel=""nofollow noreferrer"">https://musicbrainz.org</a>? </p>

<p>I need to retrieve their IDs and some information about them.
Is it possible to get data in JSON format?</p>
","2017-03-02 13:55:27","42563206","0","<json><fetch><musicbrainz>","2","1"
"Error installing pip pyicu","<p>I have been trying to install musicbrainz server on my mac and there is a step where I have to install pip pyicu. I keep getting this error:</p>

<pre><code>Collecting pyicu
Downloading PyICU-1.9.5.tar.gz (181kB)
100% |████████████████████████████████| 184kB 515kB/s 
Complete output from command python setup.py egg_info:
Traceback (most recent call last):
  File ""&lt;string&gt;"", line 1, in &lt;module&gt;
  File ""/private/tmp/pip-build-E50o2C/pyicu/setup.py"", line 11, in &lt;module&gt;
    ICU_VERSION = subprocess.check_output(('icu-config', '--version')).strip()
  File ""/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/subprocess.py"", line 566, in check_output
    process = Popen(stdout=PIPE, *popenargs, **kwargs)
  File ""/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/subprocess.py"", line 710, in __init__
    errread, errwrite)
  File ""/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/subprocess.py"", line 1335, in _execute_child
    raise child_exception
OSError: [Errno 2] No such file or directory

----------------------------------------
Command ""python setup.py egg_info"" failed with error code 1 in /private/tmp/pip-build-E50o2C/pyicu/
</code></pre>

<p>I have tried downloading ez_setup.py and doing python ez_setup.py. I have upgraded the setuptools and downloaded those separately as well. I am not sure what else there is to try. Please help!</p>
","2016-12-02 20:16:10","41281825","11","<python><python-2.7><pip><musicbrainz>","5","3"
"Musicbrainz query case sensitive?","<p>I'm running a Java application that queries the Musicbrainz database for info and I ran into a peculiar problem. The query that my application builds (using <code>java.net.URL.URL</code>) is as follows:</p>

<pre><code>http://musicbrainz.org/ws/2/recording?query=%22Gilt+Complex%22+AND+artistname%3A+%22Sons+And+Daugthers%22
</code></pre>

<p>The above query returns an empty response:</p>

<pre><code>&lt;metadata xmlns=""http://musicbrainz.org/ns/mmd-2.0#"" xmlns:ext=""http://musicbrainz.org/ns/ext#-2.0"" created=""2018-04-25T14:25:36.224Z""&gt;
  &lt;recording-list count=""0"" offset=""0""/&gt;
&lt;/metadata&gt;
</code></pre>

<p>However, if I change the AND to lower case, the query works properly:</p>

<pre><code>http://musicbrainz.org/ws/2/recording?query=%22Gilt+Complex%22+and+artistname%3A+%22Sons+And+Daugthers%22
</code></pre>

<p>returns:</p>

<pre><code>&lt;metadata xmlns=""http://musicbrainz.org/ns/mmd-2.0#"" xmlns:ext=""http://musicbrainz.org/ns/ext#-2.0"" created=""2018-04-25T14:25:36.224Z""&gt;
  &lt;recording-list count=""526823"" offset=""0""&gt;
    ...
  &lt;/recording-list&gt;
&lt;/metadata&gt;
</code></pre>

<p>The same thing happens if I copy&amp;paste the queries into Chrome. This hasn't happened to me with other songs yet. Can anyone explain what is going on here?</p>
","2018-04-26 19:48:58","50051089","0","<java><http><musicbrainz>","1","2"
"Perl: How to retrieve album metadata from MusicBrainz?","<p>I am creating a Perl script which will move a mp3 file to my music folder in format <code>artist/album/mp3file</code>. Now it is possible that some of my mp3 files don't have an <code>album tag</code> so I thought of querying the <a href=""http://musicbrainz.org/"" rel=""nofollow"">MusicBrainz</a> database to retrieve album metadata given <code>track title &amp; artist</code>.</p>

<p>I am using <a href=""http://search.cpan.org/~bfaist/WebService-MusicBrainz-0.93/lib/WebService/MusicBrainz.pm"" rel=""nofollow"">WebService::MusicBrainz</a> Perl module for this task, but I am not able to see any method that gives album metadata info. My current code is:</p>

<pre><code>use WebService::MusicBrainz::Track;

my $ws = WebService::MusicBrainz::Track-&gt;new();
my $response = $ws-&gt;search({ ARTIST =&gt; 'Ryan Adams', TITLE =&gt; 'when the stars go blue'  }); 

my $track = $response-&gt;track();
print $track-&gt;title(), "" - "", $track-&gt;artist()-&gt;name(), ""\n"";

say $track-&gt;id();
</code></pre>

<p>So, how do I get my the album info for a given track using MusicBrainz and if it is not possible what are my alternative options?</p>
","2012-10-21 16:28:46","","2","<perl><musicbrainz>","2","0"
"Convert binary image data to image and display in HTML","<p>I'm working with Musicbrainsngs - the Python lib for Musicbrainz API. Making a request for some album artwork. </p>

<pre><code>import musicbrainzngs as mb

release_group_ID = '5c14fd50-a2f1-3672-9537-b0dad91bea2f'
artwork = mb.get_release_group_image_front(release_group_ID)
print(artwork)
</code></pre>

<p>The <a href=""http://python-musicbrainzngs.readthedocs.io/en/v0.6/api/#musicbrainzngs.get_image"" rel=""nofollow noreferrer"">documentation</a> says it'll return ""The binary image data"" in a string. </p>

<p>My questions for you:
What type of data is this- (Base 64 encoded PNG? How do I tell?)</p>

<p>But more importantly - What do I do with this? How do I save this as an image, or display it as an image with HTML?</p>

<p>The image data is 1mm characters- here's a short sample of the beginning: </p>

<pre><code>b'x16\x00\xe0}\xc1\x17\xfb_U{R\xd43uL\xbf\xe33\xec3e(,\xa7p\x00\xa2+\x02   \x9c\x92\xb6\x0b\x00\x07\xf9x\xeaa\xd5\x99 i\xab$\xe2\x92\xa3Co\xb9`\xb9\x1cd\x911\x01[\x0c\xd0\x9c\xaa\x81\x08Q|\x13\xe4\xd9:c\xa47\xfe\xca*q\xf5\xd4O\xea\x0fi\x9c\xcc\xf8u\x88\x0b\x16\x11m?#F\x9d\x9a\xe8}I&amp;\xfe\xb5]t\xcf\xf0\x1f\xeb\xce\x9d\xa4iy^\x8b\xf7;2cde\xac\xd0\xc9\x12\x7f&lt;I$)\rI\x90\xe3j\xc2!D\xdbg\xfe&amp;\xf2:""rl;)\x98\n\x80\x9e \x1fS\x8e\x87\xce\xaa\xe0\x8a\xc2\x9b\'
</code></pre>
","2018-02-21 23:30:39","","1","<python><image><musicbrainz><binary-image>","1","4"
"Musicbrainz artist image and information","<p>I have managed to get an artist's information using the following </p>

<pre><code>http://musicbrainz.org/ws/2/artist/?query=artist:michael%20jackson
</code></pre>

<p>Which returns the MBID (or ID). The response here returns back a lot of information but not an image of the Artist.</p>

<p>So further reading leads me to CoverArt (<a href=""https://musicbrainz.org/doc/Cover_Art"" rel=""nofollow"">https://musicbrainz.org/doc/Cover_Art</a>) and <a href=""https://archive.org/"" rel=""nofollow"">https://archive.org/</a> and to get an image its led me to this link <a href=""https://musicbrainz.org/doc/Cover_Art_Archive/API"" rel=""nofollow"">https://musicbrainz.org/doc/Cover_Art_Archive/API</a>, which is targeting the release and not the Artist (the way i understand it, is, the <code>release</code> is the artwork of an album that an artist has done, but what i require is an image of the <code>artist</code> itself.</p>

<p>I'm not sure how to obtain the artist's image or if im going the wrong way about it as I've read a lot of links but i think im missing something here and wondered if anyone could advise? As far as i know and think i need the ID of the artist to start with but using the <code>release</code> entity doesnt return the image of an artist and ive substituted <code>release</code> with <code>artist</code> but that returns a 404.</p>
","2015-02-11 15:53:40","28467856","2","<web-services><musicbrainz>","1","1"
"Plugin not working on MusicBrainz v1.2","<p>As an exercise for learning, I am trying to write a plugin for MusicBrainz that matches the <code>albumartistsort</code> to <code>albumartist</code> and <code>artistsort</code> to <code>artist</code>, as opposed to the (apparently) default of <strong>Last Name, First Name</strong> format it is currently using.</p>

<p>I am just learning about Python and therefore I am trying to use another plugin as a guide, but some important changes need to be done and that's where I probably screwed up.</p>

<p>When I try installing the plug in, it doesn't appear in the plugin list although it is copied to the plugin folder; and the <code>.pyo</code> file is not generated. I am guessing this is due to a compilation error, but I haven't been able to include whatever I need so I can use the <code>picard</code> module (don't know where to find it nor import it) so I can test in my python interpreter.</p>

<p>This is the code I have:</p>

<pre><code>PLUGIN_NAME = ""Sort Artist and Album Artist""
PLUGIN_AUTHOR = ""Kevin Hernandez""
PLUGIN_DESCRIPTION = ""Sorts artist/album artist by name as in Artist/Album Artist field instead of Last, First""
PLUGIN_VERSION = ""0.1""
PLUGIN_API_VERSIONS = [""0.9.0"", ""0.10"", ""0.15"", ""0.16""]

from picard.metadata import register_album_metadata_processor
import re

def copy_albumartist_to_albumartistsort(tagger, metadata, release):
  match = re.search($not($eq(metadata[""albumartistsort""],metadata[""albumartist""])))
    if match:
        metadata[""albumartistsort""] = metadata[""albumartist""]

def copy_artist_to_artistsort(tagger, metadata, release):
  match = re.search($not($eq(metadata[""artistsort""],metadata[""artist""])))
    if match:
        metadata[""artistsort""] = metadata[""artist""]

register_album_metadata_processor(copy_albumartist_to_albumartistsort)
register_album_metadata_processor(copy_artist_to_artistsort)
</code></pre>

<p>and I also tried defining the functions as:</p>

<pre><code>def copy_albumartist_to_albumartistsort(tagger, metadata, release):
  metadata[""albumartistsort""] = metadata[""albumartist""]

def copy_artist_to_artistsort(tagger, metadata, release):
  metadata[""artistsort""] = metadata[""artist""]
</code></pre>

<p>I must point out that I don't fully understand when these are called. I believe the plugin documentation <a href=""http://musicbrainz.org/doc/MusicBrainz_Picard/Plugins/API"" rel=""nofollow"">here</a>, <a href=""http://musicbrainz.org/doc/MusicBrainz_Picard/Documentation/Scripting"" rel=""nofollow"">here</a> and <a href=""http://musicbrainz.org/doc/MusicBrainz_Picard/Tags"" rel=""nofollow"">here</a> is not enough to follow the plugins they have there (e.g. the <code>search</code> and <code>match</code> methods they use in different plugins with <code>re</code> are not explained in the documentation links I am referring to.</p>

<p>If there's a more thorough documentation for it, you can pinpoint what I am doing wrong in my code, or know how to include the <code>picard</code> module in an interpreter (where to find it AND how to include it), then your comments are very much appreciated and valid answers to this question.</p>
","2013-12-09 21:36:45","20482672","2","<python><musicbrainz>","1","6"
"Getting the official release id in MusicBrainz","<p>I am doing the ISRC lookup for eg.</p>

<blockquote>
  <p><a href=""https://musicbrainz.org/ws/2/isrc/SEUM71401533?inc=releases"" rel=""nofollow noreferrer"">https://musicbrainz.org/ws/2/isrc/SEUM71401533?inc=releases</a></p>
</blockquote>

<p>In the response I get list of releases. Now how do I filter the one official release. There are many official releases. I just want to get the cover art but many times its difficult to get the correct release id out of the many releases.</p>

<p>If I take this request for example :</p>

<blockquote>
  <p><a href=""https://musicbrainz.org/ws/2/isrc/SEUM71401533?inc=releases"" rel=""nofollow noreferrer"">https://musicbrainz.org/ws/2/isrc/SEUM71401533?inc=releases</a></p>
</blockquote>

<p>In the response the release with the id ""1c70f755-8622-41f5-8f69-9c0e8cc082ce"" gives the correct album art(which is the fourth release in the response) from the covert art api doing the following request :</p>

<blockquote>
  <p><a href=""https://coverartarchive.org/release/1c70f755-8622-41f5-8f69-9c0e8cc082ce"" rel=""nofollow noreferrer"">https://coverartarchive.org/release/1c70f755-8622-41f5-8f69-9c0e8cc082ce</a></p>
</blockquote>

<p>So can I figure out which release id to choose programmatically so that I get the correct cover art</p>
","2018-05-08 11:13:29","50272821","0","<musicbrainz>","1","0"
"Deserializing XML from MusicBrainz using RestSharp","<p>I'm trying to retrieve XML from MusicBrainz's artist search. The XML is returned correctly from the server, but I cannot get it to deserialize to my classes. Here is a sample of the XML:</p>

<pre><code>&lt;?xml version=""1.0"" standalone=""yes""?&gt;
&lt;metadata created=""2014-08-04T21:43:02.658Z""
xmlns=""http://musicbrainz.org/ns/mmd-2.0#""
xmlns:ext=""http://musicbrainz.org/ns/ext#-2.0""&gt;
  &lt;artist-list count=""1"" offset=""0""&gt;
    &lt;artist id=""4d263664-5418-4f6c-b46a-36f413044e73"" type=""Group""
    ext:score=""100""&gt;
      &lt;name&gt;Pallbearer&lt;/name&gt;
      &lt;sort-name&gt;Pallbearer&lt;/sort-name&gt;
      &lt;country&gt;US&lt;/country&gt;
      &lt;area id=""489ce91b-6658-3307-9877-795b68554c98""&gt;
        &lt;name&gt;United States&lt;/name&gt;
        &lt;sort-name&gt;United States&lt;/sort-name&gt;
      &lt;/area&gt;
      &lt;life-span&gt;
        &lt;begin&gt;2008&lt;/begin&gt;
        &lt;ended&gt;false&lt;/ended&gt;
      &lt;/life-span&gt;
    &lt;/artist&gt;
  &lt;/artist-list&gt;
&lt;/metadata&gt;
</code></pre>

<p>Here is my class for the data:</p>

<pre><code>using System.Collections.Generic;

namespace CelestialAPI.Models
{
    public class ArtistList
    {
        public List&lt;Artist&gt; Artists { get; set; }
    }

    public class Artist
    {
        public string Id { get; set; }
        public string Name { get; set; }
        public Area Area { get; set; }
        public string Disambiguation { get; set; }
    }

    public class Area
    {
        public string Name { get; set; } 
    }
}
</code></pre>

<p>And here is my controller:</p>

<pre><code>using System.Web.Http;
using System.Xml.Serialization;
using RestSharp;
using CelestialAPI.Models;

namespace CelestialAPI.Controllers
{
    public class SearchController : ApiController
    {
        [HttpGet]
        public ArtistList Artist(string query, int limit = 10, int offset = 0)
        {
            var searchAPI = new MusicBrainzAPI();
            return searchAPI.SearchByArtist(query, limit, offset);
        }
    }

    public class MusicBrainzAPI
    {
        readonly string _baseURL = ""http://musicbrainz.org/ws/2"";
        readonly string _userAgent = ""Celestial/dev (andrew@inmyroom.org)"";

        public ArtistList SearchByArtist(string query, int limit = 10, int offset = 0)
        {
            string endPoint = ""artist"";

            var rest = new RestClient(_baseURL);
            rest.UserAgent = _userAgent;

            var request = new RestRequest();
            request.XmlNamespace = ""http://musicbrainz.org/ns/mmd-2.0#"";
            request.Resource = endPoint + ""/?query="" + query + ""&amp;limit="" + limit + ""&amp;offset="" + offset;

            var response = rest.Execute&lt;ArtistList&gt;(request);
            return response.Data;
        }

    }
}
</code></pre>

<p>The response.Data object is empty. I've researched this issue thoroughly, and tried everything I can think of. Am I overlooking something? Has anyone successfully deserialized data from MusicBrainz in C# before?</p>
","2014-08-05 04:13:17","","0","<c#><.net><rest><restsharp><musicbrainz>","1","0"
"Retrieving Metadata from MusicBrainz Web Service","<p>I'm trying to download metadata from MusicBrainz using a 3rd party java library: <a href=""http://code.google.com/p/musicbrainzws2-java/"" rel=""nofollow"">musicbrainzws2-java</a></p>

<p>I'm trying to retrieve the metadata of individual songs in a specified album. I've retrieved the MBID of the album, but when I try to search for the songs in the album I get no return.</p>

<p>Here is my code:</p>

<pre><code>public static void main (String args []) throws MBWS2Exception {

    String artistName = ""Imagine Dragons"";
    String album_id = null;

     Artist artist = new Artist();
     artist.search(artistName);
     List&lt;ArtistResultWs2&gt; results  =  artist.getFullSearchResultList();

     ArtistWs2 song = results.get(0).getArtist();
     artist = new Artist();

     song = artist.lookUp(song);
     List&lt;ReleaseGroupWs2&gt; rgl = artist.getFullReleaseGroupList();


     for(int i =0; i&lt;rgl.size(); i++){
         System.out.println(rgl.get(i).getTitle());
         if(rgl.get(i).getTitle().equals(""Night Visions"")){
             album_id = rgl.get(i).getId();

         }

     }
     System.out.println(""Night visions ID: "" + album_id);

     Release release = new Release();
     release.search(album_id);

     List&lt;ReleaseResultWs2&gt; list = release.getFullSearchResultList();

     for(int i =0; i&lt;list.size(); i++)
            System.out.println(list.get(i).getEntity());
</code></pre>

<p>Can someone give me some pointers.
Thanks</p>
","2014-02-16 01:08:31","21857175","0","<java><xml><musicbrainz>","1","0"
